country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","07-01-2025 17:00:00",23.264759,77.381568,OZONE,43,111,90
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","07-01-2025 17:00:00",23.168606,79.932247,OZONE,14,64,48
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","07-01-2025 17:00:00",8.8787,76.6073,OZONE,29,37,35
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","07-01-2025 17:00:00",26.203442,78.193251,OZONE,22,33,30
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","07-01-2025 17:00:00",20.94185,86.11510,OZONE,7,178,174
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","07-01-2025 17:00:00",19.060498,72.923356,OZONE,8,134,89
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","07-01-2025 17:00:00",19.000083,72.813993,OZONE,7,87,58
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","07-01-2025 17:00:00",31.321907,75.578914,OZONE,29,58,41
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","07-01-2025 17:00:00",18.616318,73.765797,OZONE,41,67,65
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","07-01-2025 17:00:00",18.501793,73.927532,OZONE,14,36,26
India,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB","07-01-2025 17:00:00",24.8207389,93.9423085,CO,6,6,6
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","07-01-2025 17:00:00",19.02579,73.10297,OZONE,1,100,63
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","07-01-2025 17:00:00",22.220833,84.809444,OZONE,3,84,55
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","07-01-2025 17:00:00",19.1750,72.9419,OZONE,18,19,18
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","07-01-2025 17:00:00",19.137500,72.915056,OZONE,9,9,9
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","07-01-2025 17:00:00",25.196024,75.855668,OZONE,12,96,74
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","07-01-2025 17:00:00","30.736056 ",76.209694,OZONE,13,20,15
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","07-01-2025 17:00:00",30.649961,76.331442,OZONE,35,41,37
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","07-01-2025 17:00:00",26.358805,73.047444,OZONE,41,131,107
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","07-01-2025 17:00:00",26.253384,72.976571,OZONE,59,146,124
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","07-01-2025 17:00:00",25.164090,75.858137,OZONE,6,87,64
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","07-01-2025 17:00:00",29.931624,73.864511,OZONE,13,69,45
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","07-01-2025 17:00:00",26.902909,75.836858,OZONE,13,49,37
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","07-01-2025 17:00:00",24.588397,76.172782,OZONE,19,96,64
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","07-01-2025 17:00:00",26.470859,74.646594,OZONE,15,30,18
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","07-01-2025 17:00:00",28.296139,74.961696,OZONE,46,133,100
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","07-01-2025 17:00:00",26.295810,73.082283,OZONE,14,68,56
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB","07-01-2025 17:00:00",10.7654824,79.1389968,OZONE,7,27,14
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB","07-01-2025 17:00:00",10.830158,78.691849,CO,12,13,12
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB","07-01-2025 17:00:00",8.728442,77.6962,OZONE,6,7,6
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB","07-01-2025 17:00:00",17.393559,78.339194,OZONE,1,35,24
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","07-01-2025 17:00:00",17.429398,78.569354,OZONE,16,36,23
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","07-01-2025 17:00:00",13.0664,"80.2112 ",SO2,6,60,21
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","07-01-2025 17:00:00",13.4127,80.1081,SO2,1,86,26
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","07-01-2025 17:00:00",12.9533,80.2357,OZONE,10,16,12
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB","07-01-2025 17:00:00",17.470431,78.566959,OZONE,28,34,32
